ID,Class
6284,H
6285,E
6286,A
6287,C
6288,S
6289,C
6290,O
6291,A
6292,S
6293,H
6294,N
6295,G
6296,N
6297,H
6298,R
6299,A
6300,A
6301,R
6302,A
6303,S
6304,M
6305,O
6306,A
6307,a
6308,R
6309,S
6310,E
6311,U
6312,O
6313,r
6314,A
6315,N
6316,e
6317,D
6318,H
6319,E
6320,L
6321,d
6322,o
6323,I
6324,W
6325,I
6326,A
6327,N
6328,e
6329,l
6330,o
6331,A
6332,i
6333,v
6334,n
6335,E
6336,i
6337,R
6338,R
6339,O
6340,O
6341,S
6342,O
6343,H
6344,o
6345,M
6346,E
6347,O
6348,T
6349,E
6350,C
6351,p
6352,L
6353,I
6354,D
6355,L
6356,D
6357,J
6358,r
6359,N
6360,N
6361,N
6362,I
6363,R
6364,A
6365,M
6366,N
6367,R
6368,R
6369,I
6370,Y
6371,R
6372,N
6373,R
6374,E
6375,r
6376,L
6377,A
6378,e
6379,S
6380,T
6381,N
6382,O
6383,E
6384,R
6385,R
6386,A
6387,A
6388,n
6389,O
6390,A
6391,E
6392,T
6393,o
6394,A
6395,P
6396,L
6397,T
6398,e
6399,A
6400,r
6401,S
6402,N
6403,E
6404,S
6405,S
6406,A
6407,m
6408,I
6409,S
6410,N
6411,C
6412,I
6413,O
6414,R
6415,r
6416,N
6417,D
6418,P
6419,N
6420,s
6421,m
6422,O
6423,N
6424,A
6425,L
6426,C
6427,A
6428,n
6429,O
6430,R
6431,S
6432,O
6433,S
6434,S
6435,O
6436,I
6437,T
6438,o
6439,0
6440,A
6441,R
6442,A
6443,O
6444,s
6445,I
6446,E
6447,I
6448,N
6449,A
6450,I
6451,L
6452,s
6453,J
6454,R
6455,e
6456,R
6457,R
6458,I
6459,T
6460,O
6461,N
6462,A
6463,i
6464,P
6465,C
6466,E
6467,C
6468,A
6469,A
6470,u
6471,H
6472,A
6473,E
6474,S
6475,N
6476,A
6477,N
6478,O
6479,A
6480,R
6481,S
6482,A
6483,T
6484,R
6485,H
6486,0
6487,N
6488,E
6489,E
6490,O
6491,O
6492,P
6493,A
6494,Y
6495,N
6496,O
6497,D
6498,P
6499,U
6500,e
6501,t
6502,L
6503,n
6504,A
6505,v
6506,O
6507,I
6508,a
6509,E
6510,R
6511,U
6512,I
6513,I
6514,M
6515,R
6516,N
6517,S
6518,N
6519,N
6520,O
6521,e
6522,R
6523,e
6524,S
6525,L
6526,E
6527,N
6528,O
6529,l
6530,r
6531,O
6532,A
6533,s
6534,a
6535,C
6536,E
6537,R
6538,L
6539,P
6540,R
6541,O
6542,N
6543,E
6544,O
6545,n
6546,A
6547,T
6548,M
6549,i
6550,A
6551,E
6552,N
6553,M
6554,e
6555,1
6556,w
6557,O
6558,I
6559,T
6560,r
6561,A
6562,n
6563,A
6564,G
6565,E
6566,S
6567,T
6568,E
6569,S
6570,F
6571,L
6572,O
6573,N
6574,S
6575,O
6576,H
6577,O
6578,O
6579,s
6580,A
6581,X
6582,R
6583,A
6584,O
6585,T
6586,I
6587,H
6588,C
6589,O
6590,A
6591,E
6592,I
6593,S
6594,e
6595,R
6596,H
6597,o
6598,I
6599,A
6600,I
6601,O
6602,P
6603,S
6604,O
6605,S
6606,L
6607,E
6608,i
6609,T
6610,N
6611,C
6612,E
6613,A
6614,O
6615,C
6616,O
6617,P
6618,O
6619,N
6620,R
6621,O
6622,C
6623,O
6624,E
6625,n
6626,O
6627,P
6628,O
6629,D
6630,K
6631,O
6632,T
6633,R
6634,R
6635,E
6636,D
6637,C
6638,T
6639,E
6640,C
6641,T
6642,P
6643,0
6644,S
6645,H
6646,i
6647,C
6648,F
6649,N
6650,P
6651,E
6652,A
6653,C
6654,N
6655,E
6656,I
6657,P
6658,R
6659,E
6660,C
6661,E
6662,L
6663,R
6664,E
6665,r
6666,R
6667,o
6668,A
6669,I
6670,I
6671,A
6672,S
6673,O
6674,R
6675,P
6676,A
6677,A
6678,P
6679,T
6680,L
6681,T
6682,E
6683,L
6684,A
6685,o
6686,N
6687,T
6688,N
6689,L
6690,E
6691,S
6692,T
6693,A
6694,O
6695,B
6696,C
6697,E
6698,P
6699,A
6700,H
6701,0
6702,K
6703,I
6704,O
6705,r
6706,N
6707,E
6708,I
6709,N
6710,l
6711,O
6712,n
6713,I
6714,R
6715,r
6716,A
6717,E
6718,A
6719,R
6720,V
6721,S
6722,R
6723,M
6724,O
6725,M
6726,T
6727,N
6728,E
6729,L
6730,I
6731,A
6732,T
6733,C
6734,L
6735,l
6736,a
6737,D
6738,R
6739,n
6740,E
6741,E
6742,T
6743,E
6744,A
6745,E
6746,R
6747,N
6748,a
6749,N
6750,I
6751,t
6752,t
6753,A
6754,A
6755,O
6756,E
6757,i
6758,R
6759,A
6760,T
6761,E
6762,e
6763,R
6764,O
6765,S
6766,I
6767,U
6768,O
6769,O
6770,L
6771,S
6772,A
6773,N
6774,O
6775,T
6776,M
6777,A
6778,O
6779,0
6780,C
6781,a
6782,O
6783,A
6784,T
6785,C
6786,t
6787,T
6788,A
6789,A
6790,0
6791,i
6792,N
6793,O
6794,M
6795,T
6796,e
6797,A
6798,D
6799,O
6800,N
6801,A
6802,O
6803,A
6804,A
6805,A
6806,I
6807,O
6808,C
6809,M
6810,O
6811,R
6812,s
6813,S
6814,R
6815,O
6816,A
6817,E
6818,t
6819,O
6820,A
6821,T
6822,S
6823,E
6824,L
6825,R
6826,s
6827,N
6828,N
6829,F
6830,R
6831,a
6832,C
6833,E
6834,S
6835,C
6836,L
6837,T
6838,A
6839,I
6840,I
6841,I
6842,a
6843,E
6844,E
6845,d
6846,R
6847,D
6848,e
6849,T
6850,h
6851,O
6852,T
6853,E
6854,E
6855,O
6856,S
6857,I
6858,N
6859,T
6860,R
6861,O
6862,E
6863,T
6864,O
6865,I
6866,E
6867,R
6868,T
6869,A
6870,r
6871,L
6872,T
6873,O
6874,T
6875,A
6876,1
6877,N
6878,L
6879,I
6880,a
6881,R
6882,O
6883,T
6884,L
6885,4
6886,I
6887,A
6888,A
6889,E
6890,a
6891,S
6892,I
6893,I
6894,I
6895,T
6896,I
6897,N
6898,r
6899,A
6900,I
6901,I
6902,G
6903,A
6904,s
6905,A
6906,I
6907,R
6908,R
6909,I
6910,L
6911,I
6912,R
6913,D
6914,T
6915,O
6916,T
6917,e
6918,A
6919,T
6920,R
6921,V
6922,r
6923,9
6924,l
6925,S
6926,E
6927,R
6928,E
6929,O
6930,R
6931,n
6932,O
6933,A
6934,C
6935,L
6936,o
6937,R
6938,s
6939,A
6940,D
6941,I
6942,E
6943,P
6944,O
6945,C
6946,N
6947,I
6948,T
6949,1
6950,L
6951,i
6952,a
6953,D
6954,n
6955,I
6956,h
6957,I
6958,N
6959,0
6960,O
6961,E
6962,G
6963,E
6964,O
6965,A
6966,A
6967,N
6968,v
6969,I
6970,I
6971,I
6972,S
6973,L
6974,T
6975,E
6976,e
6977,R
6978,N
6979,i
6980,N
6981,O
6982,D
6983,A
6984,R
6985,D
6986,N
6987,F
6988,A
6989,P
6990,R
6991,O
6992,o
6993,T
6994,S
6995,N
6996,I
6997,e
6998,T
6999,A
7000,A
7001,A
7002,I
7003,N
7004,N
7005,A
7006,P
7007,m
7008,E
7009,I
7010,S
7011,1
7012,O
7013,R
7014,O
7015,3
7016,R
7017,a
7018,L
7019,i
7020,A
7021,M
7022,N
7023,n
7024,r
7025,R
7026,n
7027,H
7028,0
7029,S
7030,C
7031,A
7032,T
7033,e
7034,O
7035,o
7036,A
7037,E
7038,C
7039,T
7040,A
7041,S
7042,0
7043,Y
7044,E
7045,E
7046,O
7047,R
7048,a
7049,I
7050,I
7051,O
7052,1
7053,h
7054,H
7055,E
7056,2
7057,n
7058,I
7059,i
7060,O
7061,R
7062,T
7063,e
7064,N
7065,O
7066,s
7067,E
7068,I
7069,S
7070,F
7071,a
7072,7
7073,S
7074,2
7075,N
7076,R
7077,O
7078,P
7079,C
7080,E
7081,A
7082,4
7083,O
7084,P
7085,N
7086,S
7087,h
7088,I
7089,S
7090,L
7091,R
7092,L
7093,R
7094,e
7095,r
7096,I
7097,O
7098,E
7099,E
7100,T
7101,N
7102,O
7103,L
7104,2
7105,O
7106,E
7107,L
7108,O
7109,R
7110,t
7111,A
7112,Y
7113,c
7114,E
7115,S
7116,P
7117,L
7118,A
7119,S
7120,E
7121,R
7122,R
7123,S
7124,B
7125,S
7126,R
7127,e
7128,A
7129,E
7130,A
7131,n
7132,S
7133,W
7134,N
7135,C
7136,O
7137,H
7138,L
7139,E
7140,l
7141,T
7142,P
7143,N
7144,A
7145,t
7146,i
7147,E
7148,a
7149,O
7150,I
7151,I
7152,E
7153,I
7154,O
7155,A
7156,O
7157,C
7158,C
7159,A
7160,E
7161,P
7162,a
7163,R
7164,t
7165,A
7166,L
7167,T
7168,E
7169,N
7170,R
7171,O
7172,R
7173,E
7174,I
7175,N
7176,N
7177,A
7178,A
7179,V
7180,h
7181,A
7182,H
7183,M
7184,S
7185,7
7186,A
7187,A
7188,T
7189,V
7190,H
7191,R
7192,A
7193,i
7194,S
7195,E
7196,O
7197,B
7198,K
7199,O
7200,N
7201,1
7202,O
7203,O
7204,O
7205,e
7206,o
7207,N
7208,S
7209,N
7210,T
7211,R
7212,O
7213,T
7214,A
7215,o
7216,N
7217,R
7218,t
7219,I
7220,E
7221,A
7222,i
7223,H
7224,N
7225,O
7226,S
7227,e
7228,A
7229,O
7230,r
7231,C
7232,4
7233,R
7234,D
7235,O
7236,O
7237,S
7238,O
7239,R
7240,R
7241,L
7242,T
7243,a
7244,H
7245,N
7246,S
7247,o
7248,a
7249,O
7250,O
7251,0
7252,E
7253,E
7254,a
7255,A
7256,E
7257,a
7258,I
7259,A
7260,R
7261,E
7262,O
7263,N
7264,N
7265,A
7266,C
7267,S
7268,D
7269,a
7270,E
7271,N
7272,C
7273,R
7274,S
7275,S
7276,t
7277,E
7278,N
7279,L
7280,A
7281,n
7282,A
7283,T
7284,r
7285,C
7286,E
7287,P
7288,I
7289,N
7290,O
7291,E
7292,I
7293,E
7294,U
7295,O
7296,O
7297,E
7298,M
7299,A
7300,O
7301,i
7302,E
7303,O
7304,I
7305,E
7306,B
7307,O
7308,n
7309,T
7310,A
7311,E
7312,r
7313,A
7314,A
7315,M
7316,A
7317,S
7318,A
7319,E
7320,C
7321,n
7322,T
7323,O
7324,R
7325,I
7326,O
7327,O
7328,C
7329,I
7330,N
7331,R
7332,T
7333,A
7334,A
7335,N
7336,O
7337,R
7338,H
7339,T
7340,T
7341,T
7342,E
7343,E
7344,0
7345,D
7346,o
7347,O
7348,P
7349,K
7350,A
7351,e
7352,N
7353,D
7354,a
7355,P
7356,O
7357,T
7358,r
7359,A
7360,i
7361,L
7362,O
7363,I
7364,E
7365,C
7366,T
7367,N
7368,S
7369,E
7370,A
7371,A
7372,O
7373,T
7374,N
7375,E
7376,S
7377,T
7378,I
7379,4
7380,E
7381,X
7382,S
7383,E
7384,O
7385,I
7386,D
7387,a
7388,O
7389,I
7390,S
7391,T
7392,T
7393,E
7394,S
7395,I
7396,H
7397,L
7398,O
7399,O
7400,I
7401,E
7402,e
7403,N
7404,A
7405,E
7406,R
7407,E
7408,E
7409,O
7410,S
7411,N
7412,7
7413,r
7414,7
7415,A
7416,I
7417,T
7418,A
7419,O
7420,E
7421,I
7422,C
7423,O
7424,7
7425,R
7426,O
7427,A
7428,I
7429,R
7430,A
7431,I
7432,I
7433,A
7434,A
7435,T
7436,R
7437,a
7438,g
7439,S
7440,e
7441,E
7442,A
7443,U
7444,e
7445,S
7446,P
7447,X
7448,C
7449,D
7450,E
7451,L
7452,D
7453,S
7454,s
7455,i
7456,N
7457,C
7458,M
7459,I
7460,S
7461,N
7462,E
7463,t
7464,I
7465,T
7466,A
7467,O
7468,E
7469,A
7470,O
7471,P
7472,N
7473,I
7474,P
7475,A
7476,9
7477,R
7478,S
7479,A
7480,N
7481,C
7482,a
7483,E
7484,L
7485,A
7486,I
7487,L
7488,S
7489,E
7490,P
7491,S
7492,N
7493,x
7494,7
7495,I
7496,E
7497,C
7498,E
7499,r
7500,e
7501,O
7502,P
7503,R
7504,D
7505,y
7506,O
7507,I
7508,O
7509,T
7510,I
7511,G
7512,R
7513,S
7514,A
7515,S
7516,N
7517,L
7518,E
7519,H
7520,E
7521,R
7522,E
7523,A
7524,I
7525,N
7526,T
7527,N
7528,F
7529,T
7530,I
7531,A
7532,O
7533,A
7534,E
7535,A
7536,3
7537,N
7538,A
7539,R
7540,l
7541,l
7542,R
7543,O
7544,E
7545,O
7546,O
7547,R
7548,E
7549,O
7550,A
7551,A
7552,A
7553,A
7554,S
7555,S
7556,M
7557,N
7558,E
7559,S
7560,M
7561,O
7562,E
7563,1
7564,T
7565,A
7566,E
7567,D
7568,R
7569,A
7570,N
7571,S
7572,I
7573,a
7574,H
7575,e
7576,R
7577,E
7578,O
7579,R
7580,N
7581,R
7582,C
7583,a
7584,O
7585,n
7586,I
7587,T
7588,F
7589,N
7590,S
7591,P
7592,E
7593,T
7594,M
7595,C
7596,O
7597,R
7598,T
7599,E
7600,E
7601,i
7602,L
7603,N
7604,A
7605,N
7606,I
7607,N
7608,S
7609,E
7610,L
7611,U
7612,E
7613,O
7614,I
7615,N
7616,A
7617,E
7618,I
7619,R
7620,t
7621,N
7622,T
7623,E
7624,A
7625,O
7626,M
7627,O
7628,r
7629,e
7630,A
7631,O
7632,I
7633,A
7634,R
7635,E
7636,x
7637,P
7638,0
7639,K
7640,L
7641,E
7642,I
7643,T
7644,e
7645,L
7646,t
7647,P
7648,A
7649,O
7650,s
7651,R
7652,I
7653,A
7654,O
7655,5
7656,l
7657,E
7658,A
7659,r
7660,R
7661,E
7662,R
7663,S
7664,V
7665,L
7666,O
7667,E
7668,R
7669,I
7670,N
7671,S
7672,O
7673,I
7674,Y
7675,I
7676,E
7677,O
7678,U
7679,I
7680,I
7681,A
7682,a
7683,s
7684,N
7685,n
7686,L
7687,I
7688,E
7689,G
7690,U
7691,E
7692,M
7693,C
7694,i
7695,T
7696,H
7697,O
7698,E
7699,O
7700,E
7701,E
7702,N
7703,P
7704,E
7705,R
7706,E
7707,R
7708,I
7709,A
7710,O
7711,U
7712,E
7713,e
7714,A
7715,G
